,10 Cornell - Commons Shuttle                                   ,,,,,,,,,,,,,
,Loop,,,,,,,,,,,,,
,Weekday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Goldwin Smith Hall,Seneca @ Commons Arrive - Rt 10,,,,,,,,,,
,,4:57,5:01,5:05,5:10,5:14,5:18,5:22,-,-,,,,
,,5:27,5:31,5:35,5:40,5:44,5:48,-,5:54,5:58,,,,
,,6:27,6:31,6:35,6:40,6:44,6:48,-,6:54,6:58,,,,
,,6:57,7:01,7:05,7:10,7:14,7:18,7:22,-,-,,,,
,,7:27,7:31,7:35,7:40,7:44,7:48,7:52,-,-,,,,
,,8:27,8:31,8:32,-,-,-,8:41,-,-,,,,
,,8:57,9:01,9:02,-,-,-,9:11,-,-,,,,
,,9:27,9:31,9:32,-,-,-,9:41,-,-,,,,
,,9:57,10:01,10:02,-,-,-,10:11,-,-,,,,
,,10:27,10:31,10:32,-,-,-,10:41,-,-,,,,
,,10:57,11:01,11:02,-,-,-,11:11,-,-,,,,
,,11:27,11:31,11:32,-,-,-,11:41,-,-,,,,
,,11:57,12:01,12:02,12:07,12:11,12:15,12:19,-,-,,,,
,,12:27,12:31,12:32,12:37,12:41,12:45,12:49,-,-,,,,
,,12:57,1:01,1:02,1:07,1:11,1:15,1:19,-,-,,,,
,,1:27,1:31,1:32,1:37,1:41,1:45,1:49,-,-,,,,
,,1:57,2:01,2:02,2:07,2:11,2:15,2:19,-,-,,,,
,,,,,,,,,,,,,,
,11 Ithaca College - Commons                                    ,,,,,,,,,,,,,
,Outbound,,,,,,,,,,,,,
,Mon-Thurs,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Green @ Commons Arrive,Green @ Commons Depart,Hudson @ Grandview,IC - Roy Park School,IC - The Towers @ Ithaca College,IC - College Circle Apartments,Longview,South Hill Business Park,,,,
,,7:57,8:01,8:05,8:10,8:14,8:18,8:22,-,-,,,,
,,9:57,10:01,10:05,10:10,10:14,10:18,10:22,-,-,,,,
,,11:57,12:01,12:05,12:10,12:14,12:18,12:22,-,-,,,,
,,1:57,2:01,2:05,2:10,2:14,2:18,2:22,-,-,,,,
,,3:57,4:01,4:05,4:10,4:14,4:18,4:22,-,-,,,,
,,5:57,6:01,6:05,6:10,6:14,6:18,6:22,-,-,,,,
,,7:57,8:01,8:05,8:10,8:14,8:18,8:22,-,-,,,,
,,,,,,,,,,,,,,
,11 Ithaca College - Commons                                    ,,,,,,,,,,,,,
,Outbound,,,,,,,,,,,,,
,Thursday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Green @ Commons Arrive,Green @ Commons Depart,Hudson @ Grandview,IC - Roy Park School,IC - The Towers @ Ithaca College,IC - College Circle Apartments,Longview,South Hill Business Park,,,,
,,9:27,9:31,9:32,-,-,-,9:41,-,-,,,,
,,9:57,10:01,10:02,-,-,-,10:11,-,-,,,,
,,10:27,10:31,10:32,-,-,-,10:41,-,-,,,,
,,10:57,11:01,11:02,-,-,-,11:11,-,-,,,,
,,11:57,12:01,12:02,12:07,12:11,12:15,12:19,-,-,,,,
,,12:27,12:31,12:32,12:37,12:41,12:45,12:49,-,-,,,,
,,12:57,1:01,1:02,1:07,1:11,1:15,1:19,-,-,,,,
,,1:27,1:31,1:32,1:37,1:41,1:45,1:49,-,-,,,,
,,,,,,,,,,,,,,
,11 Ithaca College - Commons                                    ,,,,,,,,,,,,,
,Outbound,,,,,,,,,,,,,
,Friday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Green @ Commons Arrive,Green @ Commons Depart,Hudson @ Grandview,IC - Roy Park School,IC - The Towers @ Ithaca College,IC - College Circle Apartments,Longview,South Hill Business Park,,,,
,,7:57,8:01,8:05,8:10,8:14,8:18,8:22,-,-,,,,
,,9:57,10:01,10:05,10:10,10:14,10:18,10:22,-,-,,,,
,,11:57,12:01,12:05,12:10,12:14,12:18,12:22,-,-,,,,
,,1:57,2:01,2:05,2:10,2:14,2:18,2:22,-,-,,,,
,,3:57,4:01,4:05,4:10,4:14,4:18,4:22,-,-,,,,
,,5:57,6:01,6:05,6:10,6:14,6:18,6:22,-,-,,,,
,,7:57,8:01,8:05,8:10,8:14,8:18,8:22,-,-,,,,
,,9:27,9:31,9:32,-,-,-,9:41,-,-,,,,
,,9:57,10:01,10:02,-,-,-,10:11,-,-,,,,
